variable,pisa_topk,mlftau_topk,pisa_contexts,mlftau_contexts,pisa_best_rank,mlftau_best_rank,pisa_max_imp,mlftau_max_imp,pisa_peak_slice,mlftau_peak_slice,sensitivity_type
sc_admission_consider_programme,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_selection_and_enrolment | MATH,NA,PISA-only (top-k)
sc_all_teachers_prof_dev_percent,TRUE,FALSE,InSchool,,5,NA,0.298800751,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_teacher_qualification_training_and_professional_development | MATH,NA,PISA-only (top-k)
sc_assessment_nonmandatory_math_tests,TRUE,FALSE,InSchool,,9,NA,0.14916663,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_assessment_evaluation_and_accountability | READ,NA,PISA-only (top-k)
sc_external_eval_action_plan,TRUE,FALSE,InSchool,,3,NA,0.45745448,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_assessment_evaluation_and_accountability | READ,NA,PISA-only (top-k)
sc_external_eval_teaching_plan,TRUE,FALSE,InSchool,,3,NA,0.724551294,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
sc_info_future_careers,TRUE,FALSE,InSchool,,2,NA,0.061113588,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_educational_pathways_and_aspirations | READ,NA,PISA-only (top-k)
sc_info_internships,TRUE,FALSE,InSchool,,2,NA,0.185141602,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_educational_pathways_and_aspirations | MATH,NA,PISA-only (top-k)
sc_inhouse_training_math_specialists,TRUE,FALSE,InSchool,,3,NA,0.428382586,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_teacher_qualification_training_and_professional_development | READ,NA,PISA-only (top-k)
sc_inhouse_workshops_math_issues,TRUE,FALSE,InSchool,,2,NA,0.786897196,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_mathematics_teacher_behaviours | READ,NA,PISA-only (top-k)
sc_inhouse_workshops_math_teacher_groups,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_mathematics_teacher_behaviours | MATH,NA,PISA-only (top-k)
sc_math_achievement_provided_parents,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | output | context_parental_guardian_involvement_and_support | MATH,NA,PISA-only (top-k)
sc_math_classes_mixed_ability,TRUE,FALSE,InSchool,,8,NA,0.196803182,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_organisation_of_student_learning_at_school | MATH,NA,PISA-only (top-k)
sc_math_marks_above_pass,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | output | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
sc_math_policy_standardized,TRUE,FALSE,InSchool,,2,NA,0.288506049,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_school_autonomy | READ,NA,PISA-only (top-k)
sc_math_programme_school_assessments,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
sc_math_programme_teacher_discretion,TRUE,FALSE,InSchool,,4,NA,0.375888073,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_exposure_to_mathematics_content | MATH,NA,PISA-only (top-k)
sc_minutes_class_period_avg,TRUE,FALSE,InSchool,,8,NA,0.116936833,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_organisation_of_student_learning_at_school | MATH,NA,PISA-only (top-k)
sc_minutes_class_period_math,TRUE,FALSE,InSchool,,2,NA,0.532895607,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_exposure_to_mathematics_content | MATH,NA,PISA-only (top-k)
sc_parents_school_governance,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_school_autonomy | MATH,NA,PISA-only (top-k)
