variable,n_topk_slices,frameworks,contexts,granularities,max_importance,best_rank_any
stdv_parent_highest_occup,15,Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,Construct; Domain; None,0.460347957,2
scdv_total_teachers,15,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,0.757722085,3
scdv_math_extra_activities,15,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain,0.526540021,4
stdv_math_disciplinary_climate,14,Global_AllPredictors; Global_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,1,1
stdv_math_self_efficacy_21st,14,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,1,1
stdv_sense_of_belonging,14,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain,1,1
st_intelligence_hard_to_change,13,MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,Construct; Domain,1,1
st_school_waste_of_time,13,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain,1,1
scdv_proportion_math_teachers,13,Global_AllPredictors; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,0.610164777,4
sc_parents_initiative_progress,12,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct,1,1
scdv_math_class_size_dv,12,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct,1,1
st_digital_learning_school_hours,12,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct,1,1
stdv_expected_education_level,12,MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool,InSchool; OutOfSchool,Construct; Domain,1,1
stdv_math_persistence,12,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,1,1
st_digital_leisure_school_hours,12,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct,0.88581553,2
scdv_student_school_climate_factors,12,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain,0.651001078,2
stdv_family_support,12,PISA_Contextual_OutOfSchool,OutOfSchool,Construct; Domain,0.63293158,4
