framework_group,variable,topk_in_school,topk_out_school,best_rank_in_school,best_rank_out_school,max_imp_in_school,max_imp_out_school,peak_slice_in_school,peak_slice_out_school,shift_type
MLFTAU,sc_assessment_nonmandatory_tests,TRUE,FALSE,10,NA,0.135442416,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_assessment_teacher_math_ratings,TRUE,FALSE,6,NA,0.13574039,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_assessment_teacher_math_tests,TRUE,FALSE,6,NA,0.189874743,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_assessment_teacher_ratings,TRUE,FALSE,3,NA,0.235773806,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | events_time | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_assessment_teacher_tests,TRUE,FALSE,11,NA,0.10913632,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | SCIE,NA,InSchool-only (top-k)
MLFTAU,sc_disadvantaged_homes,TRUE,FALSE,7,NA,0.127716266,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,sc_external_eval_policy_changes,TRUE,FALSE,2,NA,0.285372204,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | social_influence | SCIE,NA,InSchool-only (top-k)
MLFTAU,sc_heritage_language_different,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | location_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_math_achievement_public_post,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | social_influence | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_math_programme_commercial_programmes,TRUE,FALSE,7,NA,0.141145194,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_math_programme_local_assessments,TRUE,FALSE,11,NA,0.105359889,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,sc_math_programme_local_standards,TRUE,FALSE,8,NA,0.140382012,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_math_programme_math_department,TRUE,FALSE,10,NA,0.118325364,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | SCIE,NA,InSchool-only (top-k)
MLFTAU,sc_math_programme_national_assessments,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_math_programme_regional_assessments,TRUE,FALSE,2,NA,0.768758599,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | task_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,sc_math_programme_regional_standards,TRUE,FALSE,2,NA,0.948484464,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_num_data_projectors,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | technology_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,sc_num_interactive_whiteboards,TRUE,FALSE,7,NA,0.476896339,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | SCIE,NA,InSchool-only (top-k)
MLFTAU,sc_parents_assist_fundraising,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_family | organisation_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_parents_initiative_behavior,TRUE,FALSE,10,NA,0.206641844,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | social_influence | READ,NA,InSchool-only (top-k)
MLFTAU,sc_parents_initiative_progress,TRUE,FALSE,2,NA,0.980707575,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_family | social_influence | SCIE,NA,InSchool-only (top-k)
MLFTAU,sc_parents_volunteering_activities,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_family | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_teacher_computers_internet,TRUE,FALSE,7,NA,0.437917191,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,sc_teachers_initiative_behavior,TRUE,FALSE,3,NA,0.882750864,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_family | social_influence | SCIE,NA,InSchool-only (top-k)
MLFTAU,scdv_computer_availability,TRUE,FALSE,11,NA,0.301131042,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_digital_device_policies_self,TRUE,FALSE,13,NA,0.252869895,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_diversity_multicultural_views_self,TRUE,FALSE,4,NA,0.379282034,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | social_influence | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_material_shortage,TRUE,FALSE,9,NA,0.38661753,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_math_class_size_dv,TRUE,FALSE,3,NA,0.328783022,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_math_extra_activities,TRUE,FALSE,4,NA,0.316418461,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | social_influence | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_negative_school_climate,TRUE,FALSE,15,NA,0.059892926,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | SCIE,NA,InSchool-only (top-k)
MLFTAU,scdv_parent_involvement_encouragement,TRUE,FALSE,2,NA,0.881208826,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_family | organisation_attributes | SCIE,NA,InSchool-only (top-k)
MLFTAU,scdv_proportion_admin_staff,TRUE,FALSE,13,NA,0.068528159,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_proportion_doctorate_teachers,TRUE,FALSE,11,NA,0.084529351,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | MATH,NA,InSchool-only (top-k)
